system_ID,mean
NAT_S00,4.667857142857143
NAT_T00,4.612132352941177
SPO_N10,4.116964285714285
HUB_N10,4.060714285714286
HUB_B01,3.5660714285714286
HUB_N17,3.411607142857143
HUB_N08,3.3544642857142857
HUB_D02,3.266517857142857
HUB_N12,3.2147321428571427
HUB_N13,3.2075892857142856
HUB_N04,3.2058035714285715
HUB_N15,3.0196428571428573
SPO_N13,2.9857142857142858
HUB_D04,2.940625
SPO_B01,2.936607142857143
HUB_N11,2.9254464285714286
HUB_N05,2.9044642857142855
SPO_N17,2.8941964285714286
HUB_N18,2.8875
HUB_N20,2.85
SPO_N18,2.841517857142857
SPO_N12,2.8330357142857143
SPO_N11,2.8267857142857142
HUB_D05,2.796875
SPO_N04,2.7830357142857145
HUB_N09,2.764732142857143
HUB_D03,2.763392857142857
SPO_N05,2.7410714285714284
HUB_D01,2.6834821428571427
HUB_N14,2.6763392857142856
HUB_N07,2.6004464285714284
HUB_N03,2.533482142857143
SPO_N03,2.5330357142857145
SPO_N06,2.3160714285714286
HUB_N16,2.0714285714285716
HUB_N06,2.0004464285714287
HUB_N19,1.9633928571428572
SPO_N16,1.9227678571428573
